 , date, time, times, wifi_ssid_name, stutus_result   , play youtube, local host      , bytes transmitted, average cpu load, (Mb)          , (MB/s)          
  ,2021/5/12, 01:15:22 ,    ,CBN_CH8679G_Nelson-5G ,Successed ,Played ,10.118.252.82 ,113327110,44.43066374,899.2018963,107.1932192
  ,2021/5/12, 01:16:40 ,194,CBN_CH8679G_Nelson-24G ,Connecting ,Played ,10.118.252.82 ,110706830,45.07370484,882.5235287,105.2050029
  ,2021/5/12, 01:18:06 ,    ,CBN_CH8679G_Nelson-5G ,Successed ,Played ,10.118.252.82 ,112672040,41.86271163,898.1258284,107.0649419
  ,2021/5/12, 01:19:23 ,195,CBN_CH8679G_Nelson-24G ,Scanning ,Played ,10.118.252.82 ,111361900,41.51187605,886.8785277,105.7241592
  ,2021/5/12, 01:20:49 ,    ,CBN_CH8679G_Nelson-5G ,Successed ,Played ,10.118.252.82 ,112016970,42.08821551,895.3792045,106.7375188
  ,2021/5/12, 01:22:06 ,196,CBN_CH8679G_Nelson-24G ,Scanning ,Played ,10.118.252.82 ,113327110,48.26494653,906.5714899,108.0717432
  ,2021/5/12, 01:23:33 ,    ,CBN_CH8679G_Nelson-5G ,Successed ,Played ,10.118.252.82 ,115292320,43.1892642,910.8536024,108.5822108
  ,2021/5/12, 01:24:53 ,197,CBN_CH8679G_Nelson-24G ,Connecting ,Played ,10.118.252.82 ,113327110,56.6978536,902.5878083,107.5968514
  ,2021/5/12, 01:26:12 ,    ,CBN_CH8679G_Nelson-5G ,Successed ,Played ,10.118.252.82 ,119222740,40.69138685,952.5428411,113.5519553
  ,2021/5/12, 01:27:35 ,198,CBN_CH8679G_Nelson-24G ,Successed ,Played ,10.118.252.82 ,109396690,85.72152433,874.8996383,104.2961643
  ,2021/5/12, 01:29:04 ,    ,CBN_CH8679G_Nelson-5G ,Successed ,Played ,10.118.252.82 ,117912600,37.87758809,938.7508518,111.9078221
  ,2021/5/12, 01:29:54 ,199,CBN_CH8679G_Nelson-24G ,Connecting ,Played ,10.118.252.82 ,110706830,81.97964515,880.7409906,104.9925078
  ,2021/5/12, 01:31:15 ,    ,CBN_CH8679G_Nelson-5G ,Successed ,Played ,10.118.252.82 ,115947390,56.57549539,924.9486983,110.2624772
  ,2021/5/12, 01:32:30 ,200,CBN_CH8679G_Nelson-24G ,Scanning ,Played ,10.118.252.82 ,101535850,85.03727701,806.2942419,96.11776375
  ,2021/5/12, 01:34:03 ,    ,CBN_CH8679G_Nelson-5G ,Successed ,Played ,10.118.252.82 ,112672040,87.50466497,899.37528,107.2138882
  ,2021/5/12, 01:35:22 ,201,CBN_CH8679G_Nelson-24G ,Scanning ,Played ,10.118.252.82 ,110051760,69.5518692,876.7378589,104.5152973
  ,2021/5/12, 01:36:54 ,    ,CBN_CH8679G_Nelson-5G ,Successed ,Played ,10.118.252.82 ,110051760,85.45045459,877.2998286,104.5822893
  ,2021/5/12, 01:38:07 ,202,CBN_CH8679G_Nelson-24G ,Scanning ,Played ,10.118.252.82 ,113327110,59.95233104,903.1829234,107.6677946
  ,2021/5/12, 01:39:36 ,    ,CBN_CH8679G_Nelson-5G ,Successed ,Played ,10.118.252.82 ,104156130,66.77032754,829.782368,98.91776657
  ,2021/5/12, 01:40:49 ,203,CBN_CH8679G_Nelson-24G ,Scanning ,Played ,10.118.252.82 ,101535850,90.10081741,811.386872,96.72485256
